File Name,Caption,image_file_path,label_class
flood_image0285.jpg,a flooded village in the middle of a river,.\AIDER\flooded_areas\flood_image0285.jpg,2
fire_image0490.jpg,a fire burns in the distance of a forest,.\AIDER\fire\fire_image0490.jpg,1
flood_image0037.jpg,"a flooded street in the town of bunda, queensland",.\AIDER\flooded_areas\flood_image0037.jpg,2
traffic_incident_image0413.jpg,a dog is laying on the ground near a trash can,.\AIDER\traffic_incident\traffic_incident_image0413.jpg,3
fire_image0019.jpg,"a fire is seen in the middle east shopping district of san on monday, july 20, 2012",.\AIDER\fire\fire_image0019.jpg,1
traffic_incident_image0448.jpg,a map of the intersection of the intersection and the intersection of the intersection,.\AIDER\traffic_incident\traffic_incident_image0448.jpg,3
collapsed_building_image0415.jpg,a house is seen in the rubble of a collapsed building,.\AIDER\collapsed_building\collapsed_building_image0415.jpg,0
fire_image0472.jpg,a volcano er er er er er er er er er er er er er er er er er er er er er er er er er er er,.\AIDER\fire\fire_image0472.jpg,1
collapsed_building_image0417.jpg,the aftermath of the tsunami in japan,.\AIDER\collapsed_building\collapsed_building_image0417.jpg,0
flood_image0441.jpg,"a flooded road in the town of kaloa, kenya",.\AIDER\flooded_areas\flood_image0441.jpg,2
flood_image0494.jpg,a flooded road in the middle of a river,.\AIDER\flooded_areas\flood_image0494.jpg,2
traffic_incident_image0019.jpg,the crash on the m6,.\AIDER\traffic_incident\traffic_incident_image0019.jpg,3
collapsed_building_image0252.jpg,the destruction of the building in the city of manila,.\AIDER\collapsed_building\collapsed_building_image0252.jpg,0
traffic_incident_image0065.jpg,the scene of the crash on the m6,.\AIDER\traffic_incident\traffic_incident_image0065.jpg,3
collapsed_building_image0071.jpg,a large pile of rubble and debris is seen in the middle of the city,.\AIDER\collapsed_building\collapsed_building_image0071.jpg,0
flood_image0075.jpg,a flooded street in the town of port,.\AIDER\flooded_areas\flood_image0075.jpg,2
flood_image0331.jpg,a flooded street in the city of houston,.\AIDER\flooded_areas\flood_image0331.jpg,2
collapsed_building_image0351.jpg,an aerial view of a house in the village of a village near the town of a city,.\AIDER\collapsed_building\collapsed_building_image0351.jpg,0
flood_image0360.jpg,flooding in the city of houston,.\AIDER\flooded_areas\flood_image0360.jpg,2
flood_image0056.jpg,"a flooded street in the town of moore, texas",.\AIDER\flooded_areas\flood_image0056.jpg,2
collapsed_building_image0066.jpg,the aftermath of the new york city center after the fire broke through the building on october 11 2015 in new york new york,.\AIDER\collapsed_building\collapsed_building_image0066.jpg,0
fire_image0469.jpg,a large fire is burning in the middle of a street,.\AIDER\fire\fire_image0469.jpg,1
collapsed_building_image0125.jpg,"a view of the destruction of the city of mogaz, iraq",.\AIDER\collapsed_building\collapsed_building_image0125.jpg,0
flood_image0237.jpg,"a flooded street in the city of houston, texas",.\AIDER\flooded_areas\flood_image0237.jpg,2
traffic_incident_image0126.jpg,a large pile of cars is seen in this und - toned image,.\AIDER\traffic_incident\traffic_incident_image0126.jpg,3
flood_image0284.jpg,houses are surrounded by flood in the aftermath of hurricane katrina,.\AIDER\flooded_areas\flood_image0284.jpg,2
fire_image0033.jpg,a fire is seen from the roof of a building in the bronx neighborhood,.\AIDER\fire\fire_image0033.jpg,1
fire_image0363.jpg,a fire is seen from the top of a building in new york,.\AIDER\fire\fire_image0363.jpg,1
flood_image0461.jpg,"flooding in the city of st petersburg, russia",.\AIDER\flooded_areas\flood_image0461.jpg,2
traffic_incident_image0388.jpg,a car crashed on the side of the highway,.\AIDER\traffic_incident\traffic_incident_image0388.jpg,3
traffic_incident_image0064.jpg,a truck is seen on the side of a highway,.\AIDER\traffic_incident\traffic_incident_image0064.jpg,3
collapsed_building_image0375.jpg,a building that has been demolished by a large pile of rubble,.\AIDER\collapsed_building\collapsed_building_image0375.jpg,0
flood_image0216.jpg,"a flooded street in the town of moore, texas, is seen on march 29, 2013",.\AIDER\flooded_areas\flood_image0216.jpg,2
collapsed_building_image0213.jpg,a pile of junk on the side of a building,.\AIDER\collapsed_building\collapsed_building_image0213.jpg,0
traffic_incident_image0083.jpg,a truck crashed on the side of the highway in the town of north carolina,.\AIDER\traffic_incident\traffic_incident_image0083.jpg,3
collapsed_building_image0325.jpg,"an aerial view of the destruction of the city of taq, iraq",.\AIDER\collapsed_building\collapsed_building_image0325.jpg,0
collapsed_building_image0030.jpg,a car is seen in the wreckage of a plane,.\AIDER\collapsed_building\collapsed_building_image0030.jpg,0
traffic_incident_image0280.jpg,a truck is seen on the side of a highway,.\AIDER\traffic_incident\traffic_incident_image0280.jpg,3
fire_image0270.jpg,a fire burns in the sky above a field,.\AIDER\fire\fire_image0270.jpg,1
collapsed_building_image0290.jpg,a pile of trash on the side of a road,.\AIDER\collapsed_building\collapsed_building_image0290.jpg,0
flood_image0232.jpg,flooding in the midwest,.\AIDER\flooded_areas\flood_image0232.jpg,2
collapsed_building_image0496.jpg,a building is seen in the middle of the city after a massive earthquake hit the city,.\AIDER\collapsed_building\collapsed_building_image0496.jpg,0
collapsed_building_image0271.jpg,an aerial view of the destruction of the city,.\AIDER\collapsed_building\collapsed_building_image0271.jpg,0
fire_image0454.jpg,a fire burns in the middle of a neighborhood,.\AIDER\fire\fire_image0454.jpg,1
collapsed_building_image0353.jpg,a house in the aftermath of the hurricane,.\AIDER\collapsed_building\collapsed_building_image0353.jpg,0
collapsed_building_image0101.jpg,"a building is seen in the rubble of a building in the town of san, california",.\AIDER\collapsed_building\collapsed_building_image0101.jpg,0
fire_image0226.jpg,a fire is seen from the air as it burns,.\AIDER\fire\fire_image0226.jpg,1
collapsed_building_image0255.jpg,a large pile of rubbles and rubbles in a city,.\AIDER\collapsed_building\collapsed_building_image0255.jpg,0
flood_image0392.jpg,a large body of water,.\AIDER\flooded_areas\flood_image0392.jpg,2
fire_image0075.jpg,a train is on fire on the tracks,.\AIDER\fire\fire_image0075.jpg,1
fire_image0042.jpg,a fire is burning in the sky,.\AIDER\fire\fire_image0042.jpg,1
fire_image0233.jpg,a house on fire in the hills neighborhood,.\AIDER\fire\fire_image0233.jpg,1
collapsed_building_image0057.jpg,a car crashed into a building in the bronx,.\AIDER\collapsed_building\collapsed_building_image0057.jpg,0
collapsed_building_image0394.jpg,a pile of rubble in the middle of a city,.\AIDER\collapsed_building\collapsed_building_image0394.jpg,0
flood_image0333.jpg,flooding in the city of houston,.\AIDER\flooded_areas\flood_image0333.jpg,2
traffic_incident_image0452.jpg,the car was towed from the side of the road,.\AIDER\traffic_incident\traffic_incident_image0452.jpg,3
fire_image0491.jpg,a fire burns in the distance of a residential area in the town of santa feli,.\AIDER\fire\fire_image0491.jpg,1
fire_image0513.jpg,"a fire burns in the area of a residential area in the city of san, california",.\AIDER\fire\fire_image0513.jpg,1
traffic_incident_image0296.jpg,a truck crashed on the northbound at the intersection of interstate and i - 95 in los,.\AIDER\traffic_incident\traffic_incident_image0296.jpg,3
fire_image0170.jpg,"a fire burns in the forest near the town of laredo, california",.\AIDER\fire\fire_image0170.jpg,1
traffic_incident_image0007.jpg,the scene of a fatal crash on interstate in kansas,.\AIDER\traffic_incident\traffic_incident_image0007.jpg,3
flood_image0493.jpg,a flooded street in the town of person,.\AIDER\flooded_areas\flood_image0493.jpg,2
traffic_incident_image0433.jpg,a large truck is on the road near a road,.\AIDER\traffic_incident\traffic_incident_image0433.jpg,3
fire_image0103.jpg,a large fire is seen from the air,.\AIDER\fire\fire_image0103.jpg,1
fire_image0024.jpg,a prescribed fire burns through a forest,.\AIDER\fire\fire_image0024.jpg,1
collapsed_building_image0308.jpg,the aftermath of the building in the aftermath of the city,.\AIDER\collapsed_building\collapsed_building_image0308.jpg,0
fire_image0458.jpg,a house on fire in the middle of the city,.\AIDER\fire\fire_image0458.jpg,1
flood_image0438.jpg,a flooded street in a residential area surrounded by water,.\AIDER\flooded_areas\flood_image0438.jpg,2
traffic_incident_image0331.jpg,a truck crashed on the side of the highway in the town of santa clara,.\AIDER\traffic_incident\traffic_incident_image0331.jpg,3
fire_image0038.jpg,a large fire is seen from the air,.\AIDER\fire\fire_image0038.jpg,1
flood_image0094.jpg,flooding in the midwest,.\AIDER\flooded_areas\flood_image0094.jpg,2
collapsed_building_image0412.jpg,a house that was destroyed by the earthquake,.\AIDER\collapsed_building\collapsed_building_image0412.jpg,0
flood_image0376.jpg,a flooded neighborhood in the city of person,.\AIDER\flooded_areas\flood_image0376.jpg,2
flood_image0388.jpg,a flooded street in the philippines,.\AIDER\flooded_areas\flood_image0388.jpg,2
flood_image0218.jpg,a flooded tennis court in the middle of a city,.\AIDER\flooded_areas\flood_image0218.jpg,2
traffic_incident_image0396.jpg,a truck is stuck on a snowy road,.\AIDER\traffic_incident\traffic_incident_image0396.jpg,3
collapsed_building_image0257.jpg,a view of the destruction of a building in the philippines,.\AIDER\collapsed_building\collapsed_building_image0257.jpg,0
flood_image0054.jpg,"a flooded street in the town of moore, texas",.\AIDER\flooded_areas\flood_image0054.jpg,2
fire_image0220.jpg,a helicopter flies over the fire as it burns,.\AIDER\fire\fire_image0220.jpg,1
traffic_incident_image0232.jpg,the scene of a fatal car crash on the side of the road,.\AIDER\traffic_incident\traffic_incident_image0232.jpg,3
traffic_incident_image0301.jpg,a car is seen in the middle of the street after a collision with a truck in the middle of the,.\AIDER\traffic_incident\traffic_incident_image0301.jpg,3
collapsed_building_image0345.jpg,a house that has been destroyed by the tsunami,.\AIDER\collapsed_building\collapsed_building_image0345.jpg,0
flood_image0452.jpg,flooding in the uk,.\AIDER\flooded_areas\flood_image0452.jpg,2
flood_image0393.jpg,flooding in the city of new york,.\AIDER\flooded_areas\flood_image0393.jpg,2
traffic_incident_image0334.jpg,a truck is stuck on the side of a road,.\AIDER\traffic_incident\traffic_incident_image0334.jpg,3
flood_image0154.jpg,a flooded street in the city of winnipeg,.\AIDER\flooded_areas\flood_image0154.jpg,2
traffic_incident_image0407.jpg,the scene of a fatal car crash on the corner of a street in the bronx borough neighborhood,.\AIDER\traffic_incident\traffic_incident_image0407.jpg,3
traffic_incident_image0251.jpg,a school bus collided with a school bus on the i - 5 in the bronx,.\AIDER\traffic_incident\traffic_incident_image0251.jpg,3
traffic_incident_image0372.jpg,the scene of a fatal crash on interstate in the state of tennessee,.\AIDER\traffic_incident\traffic_incident_image0372.jpg,3
collapsed_building_image0300.jpg,a building that has been torn down and is being demolished,.\AIDER\collapsed_building\collapsed_building_image0300.jpg,0
flood_image0087.jpg,a river running through a city,.\AIDER\flooded_areas\flood_image0087.jpg,2
traffic_incident_image0375.jpg,the scene of a fatal car crash in the parking of a home on the corner of a street,.\AIDER\traffic_incident\traffic_incident_image0375.jpg,3
flood_image0268.jpg,flooding in the midwest region,.\AIDER\flooded_areas\flood_image0268.jpg,2
collapsed_building_image0070.jpg,a house in the aftermath of the philippines,.\AIDER\collapsed_building\collapsed_building_image0070.jpg,0
traffic_incident_image0011.jpg,a car is seen in the middle of the road after a crash on the i - 95 near the intersection of state and state streets,.\AIDER\traffic_incident\traffic_incident_image0011.jpg,3
fire_image0062.jpg,a fire is seen from the air as it burns in the area of a city,.\AIDER\fire\fire_image0062.jpg,1
traffic_incident_image0328.jpg,"a fire broke through a building in the 600 block of southside drive in the fire started on monday, sept 6, 2012",.\AIDER\traffic_incident\traffic_incident_image0328.jpg,3
flood_image0120.jpg,a flooded road surrounded by trees and water,.\AIDER\flooded_areas\flood_image0120.jpg,2
flood_image0446.jpg,"a flooded neighborhood in the city of saskatoon, canada",.\AIDER\flooded_areas\flood_image0446.jpg,2
fire_image0369.jpg,a fire is seen in the middle of a city,.\AIDER\fire\fire_image0369.jpg,1
traffic_incident_image0212.jpg,the truck that crashed into a building in the city of vancouver,.\AIDER\traffic_incident\traffic_incident_image0212.jpg,3
fire_image0308.jpg,a house on fire,.\AIDER\fire\fire_image0308.jpg,1
collapsed_building_image0481.jpg,"a collapsed road in the city of wuzhou, china",.\AIDER\collapsed_building\collapsed_building_image0481.jpg,0
collapsed_building_image0100.jpg,a building is seen in the rubble of a building in the city of hiroshima,.\AIDER\collapsed_building\collapsed_building_image0100.jpg,0
fire_image0097.jpg,"a fire burns in the hills of santa, california",.\AIDER\fire\fire_image0097.jpg,1
fire_image0231.jpg,a fire is seen from the air,.\AIDER\fire\fire_image0231.jpg,1
traffic_incident_image0233.jpg,a police car is seen in this aerial image,.\AIDER\traffic_incident\traffic_incident_image0233.jpg,3
traffic_incident_image0109.jpg,the scene of a fatal crash on interstate in pennsylvania,.\AIDER\traffic_incident\traffic_incident_image0109.jpg,3
fire_image0051.jpg,a large plume of smoke rises from the top of a mountain,.\AIDER\fire\fire_image0051.jpg,1
collapsed_building_image0112.jpg,a house is seen in the aftermath of a tornado,.\AIDER\collapsed_building\collapsed_building_image0112.jpg,0
fire_image0512.jpg,a large fire is seen from the air,.\AIDER\fire\fire_image0512.jpg,1
collapsed_building_image0240.jpg,the destruction of the house in the aftermath of the tsunami,.\AIDER\collapsed_building\collapsed_building_image0240.jpg,0
flood_image0180.jpg,a flooded street in the city of houston,.\AIDER\flooded_areas\flood_image0180.jpg,2
collapsed_building_image0129.jpg,a large pile of rubble in a city,.\AIDER\collapsed_building\collapsed_building_image0129.jpg,0
traffic_incident_image0417.jpg,an aerial view of a parking lot with cars parked in the lot,.\AIDER\traffic_incident\traffic_incident_image0417.jpg,3
flood_image0383.jpg,a flooded street in the philippines,.\AIDER\flooded_areas\flood_image0383.jpg,2
collapsed_building_image0508.jpg,"people stand in the rubble of a building in the city of dhaka, bangladesh, on may 29, 2013",.\AIDER\collapsed_building\collapsed_building_image0508.jpg,0
traffic_incident_image0349.jpg,the scene of a fatal crash on the northbound highway in los,.\AIDER\traffic_incident\traffic_incident_image0349.jpg,3
flood_image0227.jpg,a flooded street in the city of new orleans,.\AIDER\flooded_areas\flood_image0227.jpg,2
traffic_incident_image0405.jpg,the scene of a fatal crash on the freeway in los,.\AIDER\traffic_incident\traffic_incident_image0405.jpg,3
fire_image0196.jpg,"a house is engulfed by the fire in the area of the town of santa cruz, california",.\AIDER\fire\fire_image0196.jpg,1
traffic_incident_image0295.jpg,the scene of a fatal crash on the i - 95 near the intersection of interstate and i - 95,.\AIDER\traffic_incident\traffic_incident_image0295.jpg,3
traffic_incident_image0116.jpg,the train that collided with a train is seen in this aerial photo,.\AIDER\traffic_incident\traffic_incident_image0116.jpg,3
fire_image0009.jpg,a large crowd of people are gathered around a burning building,.\AIDER\fire\fire_image0009.jpg,1
fire_image0476.jpg,"a fire is seen in the middle of a building in the town of santa, california",.\AIDER\fire\fire_image0476.jpg,1
fire_image0430.jpg,a fire is seen from the air as it burns,.\AIDER\fire\fire_image0430.jpg,1
traffic_incident_image0271.jpg,the scene at the intersection of the intersection and the intersection of the intersection,.\AIDER\traffic_incident\traffic_incident_image0271.jpg,3
fire_image0393.jpg,a fire broke through the roof of a building in the bronx,.\AIDER\fire\fire_image0393.jpg,1
flood_image0076.jpg,a car is parked in a flooded street,.\AIDER\flooded_areas\flood_image0076.jpg,2
flood_image0032.jpg,a flooded street in the town of bunda,.\AIDER\flooded_areas\flood_image0032.jpg,2
traffic_incident_image0473.jpg,a car is seen on the side of a highway,.\AIDER\traffic_incident\traffic_incident_image0473.jpg,3
collapsed_building_image0367.jpg,"a house is seen in the aftermath of a tornado in the town of santa, california",.\AIDER\collapsed_building\collapsed_building_image0367.jpg,0
flood_image0391.jpg,a map of a park with a circular structure,.\AIDER\flooded_areas\flood_image0391.jpg,2
